"year"	"category"	"n"
"2000"	"Alabama"	3147
"2000"	"Alaska"	2768
"2000"	"Arizona"	2362
"2000"	"Arkansas"	1608
"2000"	"California"	756
"2000"	"Colorado"	3491
"2000"	"Connecticut"	4035
"2000"	"Delaware"	7117
"2000"	"Florida"	1833
"2000"	"Georgia"	1754
"2000"	"Hawaii"	2039
"2000"	"Idaho"	1691
"2000"	"Illinois"	1680
"2000"	"Indiana"	3745
"2000"	"Iowa"	3490
"2000"	"Kansas"	2478
"2000"	"Kentucky"	2904
"2000"	"Louisiana"	1543
"2000"	"Maine"	3783
"2000"	"Maryland"	4122
"2000"	"Massachusetts"	3505
"2000"	"Michigan"	4435
"2000"	"Minnesota"	2592
"2000"	"Mississippi"	2052
"2000"	"Missouri"	2367
"2000"	"Montana"	2939
"2000"	"Nebraska"	2435
"2000"	"Nevada"	1808
"2000"	"New Hampshire"	6209
"2000"	"New Jersey"	3920
"2000"	"New Mexico"	785
"2000"	"New York"	2966
"2000"	"North Carolina"	1662
"2000"	"North Dakota"	2324
"2000"	"Ohio"	3785
"2000"	"Oklahoma"	791
"2000"	"Oregon"	3478
"2000"	"Pennsylvania"	5517
"2000"	"Rhode Island"	4830
"2000"	"South Carolina"	2567
"2000"	"South Dakota"	3589
"2000"	"Tennessee"	2752
"2000"	"Texas"	2651
"2000"	"Utah"	1849
"2000"	"Vermont"	8783
"2000"	"Virginia"	2798
"2000"	"Washington"	1458
"2000"	"West Virginia"	2608
"2000"	"Wisconsin"	2824
"2000"	"Wyoming"	2572
"2001"	"Alabama"	3483
"2001"	"Alaska"	2839
"2001"	"Arizona"	2629
"2001"	"Arkansas"	1854
"2001"	"California"	727
"2001"	"Colorado"	3689
"2001"	"Connecticut"	4425
"2001"	"Delaware"	7460
"2001"	"Florida"	2411
"2001"	"Georgia"	1723
"2001"	"Hawaii"	2046
"2001"	"Idaho"	1770
"2001"	"Illinois"	1798
"2001"	"Indiana"	3896
"2001"	"Iowa"	3635
"2001"	"Kansas"	2558
"2001"	"Kentucky"	2971
"2001"	"Louisiana"	1677
"2001"	"Maine"	3735
"2001"	"Maryland"	4239
"2001"	"Massachusetts"	3649
"2001"	"Michigan"	4598
"2001"	"Minnesota"	2713
"2001"	"Mississippi"	2167
"2001"	"Missouri"	2549
"2001"	"Montana"	2905
"2001"	"Nebraska"	2566
"2001"	"Nevada"	1892
"2001"	"New Hampshire"	7300
"2001"	"New Jersey"	4826
"2001"	"New Mexico"	803
"2001"	"New York"	2811
"2001"	"North Carolina"	1718
"2001"	"North Dakota"	3103
"2001"	"Ohio"	3840
"2001"	"Oklahoma"	1593
"2001"	"Oregon"	3130
"2001"	"Pennsylvania"	5867
"2001"	"Rhode Island"	5097
"2001"	"South Carolina"	2902
"2001"	"South Dakota"	3757
"2001"	"Tennessee"	2599
"2001"	"Texas"	2869
"2001"	"Utah"	1952
"2001"	"Vermont"	8966
"2001"	"Virginia"	2845
"2001"	"Washington"	1415
"2001"	"West Virginia"	2583
"2001"	"Wisconsin"	2425
"2001"	"Wyoming"	2738
"2002"	"Alabama"	3432
"2002"	"Alaska"	2917
"2002"	"Arizona"	2630
"2002"	"Arkansas"	2242
"2002"	"California"	706
"2002"	"Colorado"	3894
"2002"	"Connecticut"	4530
"2002"	"Delaware"	8034
"2002"	"Florida"	2569
"2002"	"Georgia"	1435
"2002"	"Hawaii"	1958
"2002"	"Idaho"	1259
"2002"	"Illinois"	1937
"2002"	"Indiana"	4291
"2002"	"Iowa"	3866
"2002"	"Kansas"	2624
"2002"	"Kentucky"	2871
"2002"	"Louisiana"	1685
"2002"	"Maine"	3901
"2002"	"Maryland"	4444
"2002"	"Massachusetts"	3721
"2002"	"Michigan"	4832
"2002"	"Minnesota"	2840
"2002"	"Mississippi"	2566
"2002"	"Missouri"	2545
"2002"	"Montana"	3094
"2002"	"Nebraska"	2736
"2002"	"Nevada"	1998
"2002"	"New Hampshire"	7474
"2002"	"New Jersey"	4872
"2002"	"New Mexico"	837
"2002"	"New York"	2826
"2002"	"North Carolina"	1908
"2002"	"North Dakota"	2709
"2002"	"Ohio"	4086
"2002"	"Oklahoma"	1090
"2002"	"Oregon"	3322
"2002"	"Pennsylvania"	6135
"2002"	"Rhode Island"	5245
"2002"	"South Carolina"	3267
"2002"	"South Dakota"	3965
"2002"	"Tennessee"	2954
"2002"	"Texas"	2980
"2002"	"Utah"	1920
"2002"	"Vermont"	9088
"2002"	"Virginia"	2846
"2002"	"Washington"	1494
"2002"	"West Virginia"	2880
"2002"	"Wisconsin"	2550
"2002"	"Wyoming"	2123
"2003"	"Alabama"	3719
"2003"	"Alaska"	3031
"2003"	"Arizona"	2601
"2003"	"Arkansas"	2352
"2003"	"California"	746
"2003"	"Colorado"	3963
"2003"	"Connecticut"	4915
"2003"	"Delaware"	7779
"2003"	"Florida"	2598
"2003"	"Georgia"	1180
"2003"	"Hawaii"	2076
"2003"	"Idaho"	1568
"2003"	"Illinois"	2167
"2003"	"Indiana"	4690
"2003"	"Iowa"	4437
"2003"	"Kansas"	2878
"2003"	"Kentucky"	2885
"2003"	"Louisiana"	1794
