"year"	"category"	"n"	"l"
"2000"	"Alabama"	4551	7043	
"2000"	"Alaska"	4004	14323
"2000"	"Arizona"	3417	8211
"2000"	"Arkansas"	2326	7827
"2000"	"California"	1094	10346
"2000"	"Colorado"	5049	6123	
"2000"	"Connecticut"	5836	13644
"2000"	"Delaware"	10293	8333
"2000"	"Florida"	2651	8123
"2000"	"Georgia"	2537	13667
"2000"	"Hawaii"	2949	12490
"2000"	"Idaho"	2446	10166
"2000"	"Illinois"	2430	9988	
"2000"	"Indiana"	5417	7866
"2000"	"Iowa"	5048	9479
"2000"	"Kansas"	3584	8863
"2000"	"Kentucky"	4201	9747
"2000"	"Louisiana"	2232	6675
"2000"	"Maine"	5471	9189
"2000"	"Maryland"	5962	7538
"2000"	"Massachusetts"	5069	11853
"2000"	"Michigan"	6414	9267
"2000"	"Minnesota"	3749	9946
"2000"	"Mississippi"	2968	9016
"2000"	"Missouri"	3423	9379
"2000"	"Montana"	4250	5434
"2000"	"Nebraska"	3521	7450
"2000"	"Nevada"	2616	8647
"2000"	"New Hampshire"	8980	4826
"2000"	"New Jersey"	5670	11819
"2000"	"New Mexico"	1135	11812
"2000"	"New York"	4290	9618
"2000"	"North Carolina"	2404	10409
"2000"	"North Dakota"	3362	6925
"2000"	"Ohio"	5475	7872
"2000"	"Oklahoma"	1144	8212
"2000"	"Oregon"	5030	7359
"2000"	"Pennsylvania"	7979	8707
"2000"	"Rhode Island"	6986	8660
"2000"	"South Carolina"	3713	6738
"2000"	"South Dakota"	5191	6173
"2000"	"Tennessee"	3980	6990
"2000"	"Texas"	3834	7791
"2000"	"Utah"	2674	7748
"2000"	"Vermont"	12703	3983
"2000"	"Virginia"	4047	7915
"2000"	"Washington"	2108	7986
"2000"	"West Virginia"	3772	6102	
"2000"	"Wisconsin"	4084	8890
"2000"	"Wyoming"	3721	13071
"2001"	"Alabama"	4844	6738
"2001"	"Alaska"	3949	14990
"2001"	"Arizona"	3657	8128
"2001"	"Arkansas"	2579	7190
"2001"	"California"	1177	10346
"2001"	"Colorado"	5131	6261
"2001"	"Connecticut"	6155	13100
"2001"	"Delaware"	10377	8876
"2001"	"Florida"	3353	8861
"2001"	"Georgia"	2396	11435
"2001"	"Hawaii"	2846	11710
"2001"	"Idaho"	2462	10545
"2001"	"Illinois"	2500	10381
"2001"	"Indiana"	5419	7660
"2001"	"Iowa"	5056	9313
"2001"	"Kansas"	3557	8966
"2001"	"Kentucky"	4132	9737
"2001"	"Louisiana"	2333	6530
"2001"	"Maine"	5195	9444
"2001"	"Maryland"	5896	9972
"2001"	"Massachusetts"	5076	12432
"2001"	"Michigan"	6395	9483
"2001"	"Minnesota"	3774	9435
"2001"	"Mississippi"	3014	7910
"2001"	"Missouri"	3546	9349
"2001"	"Montana"	4041	5368
"2001"	"Nebraska"	3569	7745
"2001"	"Nevada"	2632	8243
"2001"	"New Hampshire"	10154	5421
"2001"	"New Jersey"	6712	10407
"2001"	"New Mexico"	1116	8930
"2001"	"New York"	3983	9457
"2001"	"North Carolina"	2389	10225
"2001"	"North Dakota"	4317	6369
"2001"	"Ohio"	5341	7908
"2001"	"Oklahoma"	2216	8172
"2001"	"Oregon"	4354	7786
"2001"	"Pennsylvania"	8160	8588
"2001"	"Rhode Island"	7089	9008
"2001"	"South Carolina"	4037	6884
"2001"	"South Dakota"	5226	6129
"2001"	"Tennessee"	3614	7153
"2001"	"Texas"	3990	7748
"2001"	"Utah"	2715	7487
"2001"	"Vermont"	12470	4021
"2001"	"Virginia"	3957	8310
